cell_line	network
ACH-002002	skin_of_body
ACH-002003	skin_of_body
ACH-002004	skin_of_body
ACH-002005	skin_of_body
ACH-002014	eye
ACH-002015	eye
ACH-002016	eye
ACH-002018	eye
ACH-002019	uterine_cervix
ACH-002020	uterine_cervix
ACH-002021	placenta
ACH-002023	small_intestine
ACH-002024	colon
ACH-002025	colon
ACH-002026	uterus
ACH-002027	uterus
ACH-002029	mouth
ACH-002030	mouth
ACH-002033	respiratory_system
ACH-002035	lung
ACH-002039	pancreas
ACH-002040	skin_of_body
ACH-002041	thyroid_gland
ACH-002042	mouth
ACH-002043	mouth
ACH-002044	mouth
ACH-002045	mouth
ACH-002046	uterus
ACH-002048	muscle_cell
ACH-002051	lung
ACH-002052	lung
ACH-002055	lymphoid_system
ACH-002059	lymphoid_system
ACH-002060	blood_cell
ACH-002061	myeloid_cell
ACH-002062	lymphoid_system
ACH-002066	schwann_cell
ACH-002067	osteoblast
ACH-002069	osteoblast
ACH-002070	leptomeningeal_cell
ACH-002077	lung
ACH-002080	adrenal_gland
ACH-002083	adrenal_gland
ACH-002084	skin_of_body
ACH-002105	mesenchymal_cell
ACH-002106	mesenchymal_cell
ACH-002109	mesenchymal_cell
ACH-002110	mesenchymal_cell
ACH-002114	mesenchymal_cell
ACH-002116	mesenchymal_cell
ACH-002119	mesenchymal_cell
ACH-002140	ovary
ACH-002141	stomach
ACH-002143	skin_of_body
ACH-002150	kidney
ACH-002156	lung
ACH-002160	mesenchymal_cell
ACH-002161	stomach
ACH-002179	mammary_gland
ACH-002181	ovary
ACH-002183	ovary
ACH-002186	pancreas
ACH-002189	kidney
ACH-002198	testis
ACH-002202	stomach
ACH-002204	vertebral_column
ACH-002210	blood_cell
ACH-002212	mouth
ACH-002214	lymphoid_system
ACH-002215	lymphoid_system
ACH-002228	glial_cell
ACH-002229	glial_cell
ACH-002230	glial_cell
ACH-002233	colon
ACH-002234	mouth
ACH-002239	saliva_secreting_gland
ACH-002243	esophagus
ACH-002247	blood_cell
ACH-002249	mouth
ACH-002250	mouth
ACH-002251	mouth
ACH-002257	glial_cell
ACH-002261	adrenal_gland
ACH-002263	esophagus
ACH-002265	mouth
ACH-002269	glial_cell
ACH-002278	adrenal_gland
ACH-002280	adrenal_gland
ACH-002282	adrenal_gland
ACH-002283	adrenal_gland
ACH-002284	adrenal_gland
ACH-002285	adrenal_gland
ACH-002291	testis
ACH-002294	mouth
ACH-002295	mouth
ACH-002296	mouth
ACH-002297	mouth
ACH-002298	mouth
ACH-002304	glial_cell
ACH-002305	mouth
ACH-002399	mammary_gland
ACH-002400	mammary_gland
ACH-002401	mammary_gland
ACH-002446	stomach
ACH-002458	skin_of_body
ACH-002460	skin_of_body
ACH-002461	skin_of_body
ACH-002462	retina
ACH-002463	retina
ACH-002464	retina
ACH-002465	retina
ACH-002467	retina
ACH-002470	osteoblast
ACH-002471	osteoblast
ACH-002475	myeloid_cell
ACH-002478	lymphoid_system
ACH-002485	lymphoid_system
ACH-002486	ovary
ACH-002490	lung
